,Class ID,Part,Start,Text,Coordinates,Confidence State,Confidence Who,Confidence Prob,Fields,Normalizations,relations
0,e_14,s1v1,359,Athènè,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
1,e_25,s1v1,526,"– Princes et chefs des Phaiakiens, allez à l'agora, afin d'entendre l'étranger qui est arrivé récemment dans la demeure du sage Alkinoos, après avoir erré sur la mer. Il est semblable aux immortels.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
2,e_3,s1v1,528,"Princes et chefs des Phaiakiens, allez à l'agora, afin d'entendre l'étranger qui est arrivé récemment dans la demeure du sage Alkinoos, après avoir erré sur la mer",[],pre-added,['user:NicolasBovet'],1.0,{},{},
3,e_14,s1v1,1208,Alkinoos,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
4,e_25,s1v1,1238,"– Écoutez-moi, princes et chefs des Phaiakiens, afin que je dise ce que mon coeur m'inspire dans ma poitrine. Je ne sais qui est cet étranger errant qui est venu dans ma demeure, soit du milieu des hommes qui sont du côté d'Éôs, soit de ceux qui habitent du côté de Hespéros. Il nous demande d'aider à son prompt retour. Nous le reconduirons, comme cela est déjà arrivé pour d'autres ; car aucun homme entré dans ma demeure n'a jamais pleuré longtemps ici, désirant son retour. Allons ! tirons à la mer divine une nef noire et neuve, et que cinquante-deux jeunes hommes soient choisis dans le peuple parmi les meilleurs de tous. Liez donc à leurs bancs les avirons de la nef, et préparons promptement dans ma demeure un repas que je vous offre. Les jeunes hommes accompliront mes ordres, et vous tous, rois porteurs de sceptres, venez dans ma belle demeure, afin que nous honorions notre hôte dans la maison royale. Que nul ne refuse, et appelez le divin aoide Dèmodokos, car un dieu lui a donné le chant admirable qui charme, quand son âme le pousse à chanter.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
5,e_3,s1v1,1559,"Nous le reconduirons, comme cela est déjà arrivé pour d'autres ; car aucun homme entré dans ma demeure n'a jamais pleuré longtemps ici, désirant son retour. Allons ! tirons à la mer divine une nef noire et neuve, et que cinquante-deux jeunes hommes soient choisis dans le peuple parmi les meilleurs de tous.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
6,e_14,s1v1,5144,Alkinoos,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
7,e_25,s1v1,5285,"– Écoutez-moi, princes et chefs des Phaiakiens. Déjà nous avons satisfait notre âme par ce repas et par les sons de la kithare qui sont la joie des repas. Maintenant, sortons, et livrons-nous à tous les jeux, afin que notre hôte raconte à ses amis, quand il sera retourné dans sa patrie, combien nous l'emportons sur les autres hommes au combat des poings, à la lutte, au saut et à la course.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
8,e_3,s1v1,5334,éjà nous avons satisfait notre âme par ce repas et par les sons de la kithare qui sont la joie des repas,[],pre-added,['user:NicolasBovet'],1.0,{},{},
9,e_14,s1v1,7177,Laodamas,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
