,Text,TagTog,Senticnet,PyFeel
0,"Princes et chefs des Phaiakiens, allez à l'agora, afin d'entendre l'étranger qui est arrivé récemment dans la demeure du sage Alkinoos, après avoir erré sur la mer",Joy,ecstasy,calmness
1,"Nous le reconduirons, comme cela est déjà arrivé pour d'autres ; car aucun homme entré dans ma demeure n'a jamais pleuré longtemps ici, désirant son retour. Allons ! tirons à la mer divine une nef noire et neuve, et que cinquante-deux jeunes hommes soient choisis dans le peuple parmi les meilleurs de tous.",Joy,grief,calmness
2,éjà nous avons satisfait notre âme par ce repas et par les sons de la kithare qui sont la joie des repas,Joy,enthusiasm,joy
3,"Certes, il ne semble point sans courage. Il a des cuisses et des bras et un cou très vigoureux, et il est encore jeune, bien qu'il ait été affaibli par beaucoup de malheurs",Calmness,ecstasy,joy
4,"Viens donc, et chasse la tristesse de ton âme. Ton retour n'en subira pas un long retard, car déjà ta nef est traînée à la mer et tes compagnons sont prêts à partir",Calmness,enthusiasm,fear
5,"Les douleurs remplissent mon âme plus que le désir des jeux. J'ai déjà subi beaucoup de maux et supporté beaucoup de travaux, et maintenant, assis dans votre agora, j'implore mon retour, priant le roi et tout le peuple.",Sadness,ecstasy,fear
6,"u parais, mon hôte, ignorer tous les jeux où s'exercent les hommes, et tu ressembles à un chef de matelots marchands qui, sur une nef de charge, n'a souci que de gain et de provisions, plutôt qu'à un athlète",Angry,dislike,fear
7,tu as irrité mon coeur dans ma chère poitrine,Angry,grief,sadness
8,"Maintenant, je suis accablé de misères et de douleurs, ayant subi de nombreux combats parmi les hommes ou en traversant les flots dangereux",Sadness,terror,fear
9,et tu m'as irrité par ce discours,Angry,grief,calmness
10,"Aie donc confiance, car aucun des Phaiakiens n'atteindra là, loin de te dépasser",Calmness,pleasantness,fear
11,Mon âme et mon coeur m'excitent à tenter tous les autres combat,Joy,ecstasy,fear
12,Mais je pense être maintenant le plus habile de tous les mortels qui se nourrissent de pain sur la terre,Calmness,ecstasy,calmness
13,"Seulement, je crains qu'un des Phaiakiens me surpasse à la course",Fear,contentment,calmness
14,"Mon hôte, tes paroles me plaisent",Joy,,calmness
15,"Père Zeus, et vous, dieux heureux qui vivez toujours, venez voir des choses honteuses et intolérables",Disgust,ecstasy,joy
16,"Certes, en les voyant sur ce lit, je suis plein de douleur",Sadness,annoyance,joy
17,L'admiration me saisit en les regardan,Joy,delight,calmness
18,Notre hôte me semble plein de sagesse,Calmness,melancholy,joy
19,"Et, aussitôt, nous apporterons tous ensemble ces présents, afin que notre hôte, les possédant, siège au repas, l'âme pleine de joie",Joy,ecstasy,joy
20,"j'apaiserai notre hôte, comme tu me l'ordonnes",Calmness,,calmness
21,"Que les dieux t'accordent de retourner dans ta patrie et de revoir ta femme,",Calmness,ecstasy,sadness
22,que tu me donnes en m'apaisant par tes paroles,Calmness,,calmness
23,"et qu'il se réjouisse du repas, en écoutant le chant de l'aoide.",Joy,enthusiasm,angry
24,"Plaise aux dieux, quand tu seras dans la terre de la patrie",Joy,ecstasy,calmness
25,"e t'adresserai des voeux tous les jours de ma vie, car tu m'as sauvé, ô vierge",Joy,ecstasy,fear
26,Les aoides sont dignes d'honneur et de respect parmi tous les hommes terrestres,Calmness,terror,calmness
27,"Tu as admirablement chanté la destinée des Akhaiens, et tous les maux qu'ils ont endurés, et toutes les fatigues qu'ils ont subies",Sadness,ecstasy,calmness
28,Nous avons préparé le retour de notre hôte vénérable et des présents amis que nous lui avons offerts parce que nous l'aimons,Calmness,ecstasy,sadness
29,"Ce sera comme il plaira au dieu.""",Calmness,ecstasy,fear
30,"Il me semble plein de justice. Que Zeus soit propice à son dessein, quel qu'il soit",Calmness,melancholy,joy
31,car une grande douleur m'accable,Sadness,annoyance,sadness
32,"du double malheur tombé sur ma demeure ; car, d'une part, j'ai perdu mon père irréprochable, qui autrefois vous commandait, et qui, pour vous aussi, était doux comme un père ; et, d'un autre côté, voici maintenant, – et c'est un mal pire qui détruira bientôt ma demeure et dévorera tous mes biens, – que des prétendants assiègent ma mère contre sa volonté",Sadness,ecstasy,sadness
33,"Et ils envahissent tous les jours notre demeure, tuant mes boeufs, mes brebis et mes chèvres grasses, et ils en font des repas magnifiques, et ils boivent mon vin noir effrontément et dévorent tout. Il n'y a point ici un homme tel qu'Odysseus qui puisse repousser cette ruine loin de ma demeure, et je ne puis rien",Sadness,grief,fear
34,et ma maison périt honteusement.,Sadness,,calmness
35,"""Indignez-vous donc, vous-mêmes. Craignez les peuples voisins qui habitent autour d'Ithakè, et la colère des dieux qui puniront ces actions iniques",Angry,grief,fear
36,et laissez-moi subir au moins ma douleur dans la solitude,Sadness,grief,sadness
